Local Government Area,1991 Census,2006 Census,2022 Census
Abua-Odual,134420.00,282410.00,406200.00
Ahoada East,,166324.00,239200.00
Ahoada West,,249232.00,358400.00
Akuku Toru,102169.00,161103.00,231700.00
Andoni,,217924.00,313400.00
Asari-Toru,166788.00,219787.00,316100.00
Bonny,76124.00,214983.00,309200.00
Degema,95889.00,249467.00,358800.00
Eleme,,190194.00,273500.00
Emuoha,154923.00,201057.00,289200.00
Etche,,249939.00,359500.00
Gokana,159461.00,233813.00,336300.00
Ikwerre,125385.00,188930.00,271700.00
Khana,207095.00,292924.00,421300.00
Obio/Akpor,263017.00,462350.00,665000.00
Ogba - Egbema - Ndoni,190751.00,283294.00,407400.00
Ogu - Bolo,,75282.00,108300.00
Okrika,,222285.00,319700.00
Omumma,,100388.00,144400.00
Opobo - Nkoro,,152833.00,219800.00
Oyigbo,85334.00,125331.00,180300.00
Port-Harcourt,440399.00,538558.00,774600.00
Tai,,120308.00,173000.00
